nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Carpintería interior,Tipo suelo,Carpintería exterior,Chimenea,Cocina equipada,Comedor,Lavadero,Trastero,Portero automático,Puerta blindada,Terraza,Orientación,Vidrios dobles,Aire acondicionado,Calefacción,Urbanizado,Calle alumbrada,Calle asfaltada,Superficie solar,Armarios empotrados,Garaje,Jardín,Agua,Luz,Gas,Ascensor,Balcón,Soleado,Se aceptan mascotas,Interior,Gastos de comunidad,Adaptado a personas con movilidad reducida,Piscina,Teléfono,Tipo de casa,Amueblado,Sistema de seguridad,Alcantarillado
Piso en Carrer de la Mare de Déu del Socors,Aliseda Inmobiliaria,1.215 €/m²,107.000 €,88 m²,https://www.pisos.com/comprar/piso-escola_industrial_placa_de_catalunya08222-41736338675_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),88 m²,,3,1,,,,,AN1-ANT00030674050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Torre-Sana,OLVIA GESTIÓ IMMOBILIARIA,2.309 €/m²,334.900 €,145 m²,https://www.pisos.com/comprar/casa-torre_sana-49250645635_516838/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),145 m²,145 m²,3,3,,,Entre 20 y 30 años,En buen estado,516838-0642,,Gres,Aluminio,,Independiente,Con salida a terraza,,,,,22,Este,,,Gas natural,,,,,,1,,,,,,,,,,,,,,,,,
Casa en Carrer del Calvari,PERITAX,741 €/m²,309.900 €,418 m²,https://www.pisos.com/comprar/casa-sant_llorenc_savall_centro_urbano-49254426939_100500/,Anuncio actualizado el 06/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),418 m²,270 m²,4,3,,,Entre 30 y 50 años,,SA730-GR970/2691,,,,N/A,,,,N/A,,,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Casa en - Centre -,VALLES INMOBILIARIA,1.173 €/m²,210.000 €,179 m²,https://www.pisos.com/comprar/casa-castellar_del_valles_centro_urbano-49167107143_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),179 m²,160 m²,4,1,,,Más de 50 años,,SA4822-PV145-/10724,,Terrazo,,,,,,,,,,Norte,,,N/A,,,,152 m²,,,N/A,,,,,,,,,,,,,,,,
Chalet en - Els Fruiters  -,PERITAX,2.083 €/m²,525.000 €,252 m²,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-44256788969_100500/,Anuncio actualizado el 17/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),252 m²,220 m²,4,3,,,Más de 50 años,,SA730-GV0395/2691,,,,,,,,N/A,,,N/A,Sur,,N/A,Gas natural,,,,612 m²,1,1,N/A,N/A,,,,,,,,,,N/A,,,,N/A,
Casa en Carrer del Calvari,FS FINQUES,741 €/m²,309.900 €,418 m²,https://www.pisos.com/comprar/casa-sant_llorenc_savall_centro_urbano-49241441311_100500/,Anuncio actualizado el 26/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),418 m²,270 m²,4,3,,,Entre 30 y 50 años,,SA411-R970/4962,,,,N/A,,,,N/A,,,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Sant Pere Nord,AtipicFinques,2.195 €/m²,180.000 €,82 m²,https://www.pisos.com/comprar/piso-sant_pere_nord08226-50919136823_525538/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),82 m²,71 m²,3,1,Bajo,N/A,,En buen estado,4525538-CRG - 064,,Parquet,,,N/A,N/A,N/A,,,,,Norte,,,Gas natural,,,,,,,,,,,,,,,,,,,,,N/A,,
Piso en Sant Pere Nord,FINQUES FERRAN PLADELLORENS,2.073 €/m²,170.000 €,82 m²,https://www.pisos.com/comprar/piso-sant_pere_zona_esportiva_sant_pere08221-39183211495_992671/,Anuncio actualizado el 21/01/2025,"G, E","G, E",valles_occidental_nord (BCN),82 m²,75 m²,3,1,1ª,N/A,Entre 30 y 50 años,En buen estado,4992671-1996,,Parquet,Aluminio,,N/A,N/A,N/A,N/A,N/A,N/A,,Sur,,Frío y calor,Gas natural,,,,,2,,,,,,,N/A,N/A,N/A,,,,,,,N/A,,
Casa en Can Parellada,Engel & Völkers MMC Barcelona,1.085 €/m²,395.000 €,364 m²,https://www.pisos.com/comprar/casa-can_parellada08228-50842801505_101800/,Anuncio actualizado el 16/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),364 m²,,5,2,,,,,IF76306-I-00YY4L-W-02W768,,,,,,,,,,,N/A,,,,Central,,,,486 m²,,1,Privado,,,,,,,,,,,Propia,,,N/A,,
Ático en Can Boada-Torrent d'en Pere Parres,OLVIA GESTIÓ IMMOBILIARIA,2.985 €/m²,229.900 €,77 m²,https://www.pisos.com/comprar/atico-can_boada_torrent_en_pere_parres08225-41725970848_516838/,Anuncio actualizado el 14/02/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),77 m²,47 m²,3,1,4ª,N/A,Más de 50 años,A reformar,516838-0643,,Terrazo,Madera,,"Independiente, con salida a terraza",Con salida a terraza,En la terraza,,,,N/A,Sur,,,,,,,,,,,,,,N/A,,N/A,,,,,,,,,,
Dúplex en Castellar del Vallès,IFINQUES CASTELLAR,2.181 €/m²,349.000 €,160 m²,https://www.pisos.com/comprar/duplex-castellar_del_valles_centro_urbano-50014983945_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),160 m²,150 m²,3,2,1ª,N/A,Menos de 5 años,En buen estado,SA4977-120,,,,,Cocina amueblada,,,,,,N/A,Sur,N/A,Frío,Gas natural,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,N/A,
Piso en Passatge de Montserrat Roig,DALETH Habitatges,2.697 €/m²,129.500 €,48 m²,https://www.pisos.com/comprar/piso-ca_nanglada08222-50902600458_501592/,Anuncio actualizado el 28/01/2025,"E, E","E, E",valles_occidental_nord (BCN),48 m²,41 m²,1,1,Bajo,N/A,Entre 10 y 20 años,Reformado,501592-19711469,,Parquet,Aluminio,,,,,,N/A,N/A,,,N/A,Frío y calor,Eléctrica,,,,,,,,,,,,,,,,432 al año,,,,,,,
Apartamento en Vallparadís,Engel & Völkers MMC Barcelona,2.197 €/m²,345.000 €,157 m²,https://www.pisos.com/comprar/apartamento-vallparadis08222-51726456852_101800/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),157 m²,,4,2,2ª,,Entre 30 y 50 años,,IF76306-I-00Z0KB-W-02W4TX,,,,,,,N/A,,,,,,,,Central,,,,,,1,,,,,N/A,,,,,,,,,,,,
Chalet en Aire-Sol,IFINQUES CASTELLAR,1.398 €/m²,597.000 €,427 m²,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-47561003348_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),427 m²,402 m²,7,4,,,Entre 30 y 50 años,En buen estado,SA4977-61,,,,N/A,Cocina amueblada,,N/A,,,,,Sureste,,,,,,,1.018 m²,,1,Privado,,,,,,,N/A,,,,Propia,,,,N/A,
Casa en Matadepera,COLDWELL BANKER STYLE REAL ESTATE,2.636 €/m²,1.350.000 €,512 m²,https://www.pisos.com/comprar/casa-matadepera_centro_urbano-51745872409_106700/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),512 m²,500 m²,7,7,,,Entre 10 y 20 años,,IFC76326-CBMT674,,,,,,,,,,,,,,,,,,,1.100 m²,,,,,,,,,,,,,,,,,,,
Piso en Can Palet,LA IMMOBILIARIA TRS,1.510 €/m²,139.000 €,92 m²,https://www.pisos.com/comprar/piso-can_palet08223-50041900326_109300/,Anuncio actualizado el 20/02/2025,"F, F","F, F",valles_occidental_nord (BCN),92 m²,,2,1,1ª,N/A,Más de 50 años,,EP999-ANA-153,,,,,,,N/A,N/A,,,14,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Carretera d'Olesa,ESLALLAR,2.350 €/m²,275.000 €,117 m²,https://www.pisos.com/comprar/duplex-roc_blanc-51703211035_100500/,Anuncio actualizado el 11/02/2025,"E, E","E, E",valles_occidental_nord (BCN),117 m²,103 m²,3,2,2ª,,Entre 10 y 20 años,,SA5398-V0621AP/11608,,Parquet,,N/A,,,,,,,N/A,,,N/A,Gas natural,,,,,,,,N/A,,,N/A,N/A,,,,Más de 100 €,,,,,,,
Casa adosada en Can Bogunya,NOVA FINQUES,778 €/m²,200.000 €,257 m²,https://www.pisos.com/comprar/casa_adosada-castellar_del_valles_centro_urbano-48374542854_100500/,Anuncio actualizado el 25/10/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),257 m²,250 m²,3,2,,,Más de 50 años,,SA3386-ACT-00037/8710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adosada,,,
Chalet en Els Fruiters,IFINQUES CASTELLAR,1.971 €/m²,680.000 €,345 m²,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-48378668242_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),345 m²,300 m²,5,3,,,Entre 20 y 30 años,En buen estado,SA4977-119,,,,N/A,Cocina amueblada,,,N/A,,N/A,N/A,Sur,N/A,Frío,N/A,,,,573 m²,1,,Privado,,,,,,,,,,,Propia,,,,N/A,
Casa en Poble,"FINQUES MAJES 2000, S.L.",673 €/m²,370.000 €,549 m²,https://www.pisos.com/comprar/casa-vacarisses_centro_urbano-21738645114_501506/,Anuncio actualizado el 06/02/2025,"G, G","G, G",valles_occidental_nord (BCN),549 m²,320 m²,4,1,,,Más de 50 años,En buen estado,501506-V6364,Madera,Gres,Madera,N/A,7 m,16 m,13.67 m,,,N/A,N/A,A la montaña,,,Gasoil,N/A,N/A,,831 m²,,Más de 2,Privado,,,,,,,,,,,,,,N/A,,
Casa en Camí de Sant Salvador de les Espases,SBD IMMOBLES,1.889 €/m²,359.000 €,190 m²,https://www.pisos.com/comprar/casa-vacarisses_centro_urbano-51732937085_100500/,Anuncio actualizado el 08/02/2025,"D, C","D, C",valles_occidental_nord (BCN),190 m²,179 m²,6,4,,,Entre 10 y 20 años,,SA723-11798/2605,,,,,,N/A,,,,,N/A,Sur,,N/A,,N/A,,,500 m²,,1,N/A,N/A,,,,,,,,,,Propia,,,,,
Dúplex en Carrer del Berguedà,GERFINCAS,1.197 €/m²,200.000 €,167 m²,https://www.pisos.com/comprar/duplex-can_palet08223-47599682534_500806/,Anuncio actualizado el 19/02/2025,"D, D","D, D",valles_occidental_nord (BCN),167 m²,167 m²,6,1,2ª,N/A,Entre 30 y 50 años,En buen estado,500806-007506,De embero,Terrazo,Madera,,Independiente de 6 m²,De 20 m²,,,N/A,,De 15 m² y otra de 10 m²,,,,Gas natural,,,,,,,,,,N/A,,,N/A,,,Entre 20 y 40 €,,,,,,,
Chalet en Sant Feliu del Raco,IFINQUES CASTELLAR,1.435 €/m²,590.000 €,411 m²,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-45016483765_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),411 m²,380 m²,5,3,,,Entre 20 y 30 años,Reformado,SA4977-77,,Gres,,N/A,Cocina amueblada,,N/A,N/A,,N/A,N/A,Sureste,N/A,,N/A,,,,2.925 m²,1,1,Privado,,,,,,,N/A,,,,,,,,N/A,
Casa en Carretera de Monistrol,FS FINQUES,1.013 €/m²,750.000 €,740 m²,https://www.pisos.com/comprar/casa-sant_llorenc_savall_centro_urbano-12586683508_100500/,Anuncio actualizado el 12/07/2024,"G, F","G, F",valles_occidental_nord (BCN),740 m²,450 m²,12,3,,,Más de 50 años,,SA411-R303/4962,,,,N/A,,,,N/A,,,N/A,,,,N/A,,,,14.000 m²,,,N/A,N/A,,,,,,,,,,Propia,,,,,
"Piso en Paseo , nº 53",IFINQUES CASTELLAR,1.641 €/m²,279.000 €,170 m²,https://www.pisos.com/comprar/piso-castellar_del_valles_centro_urbano-48395816648_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),170 m²,160 m²,3,2,Bajo,N/A,Menos de 5 años,A estrenar,SA4977-30-1,,Parquet,,,Cocina amueblada,,N/A,,,N/A,,Sur,N/A,Frío,N/A,,,,,,,,,,,,,N/A,,,,N/A,,,,,,
Ático en Castellar del Vallès,OLVIA GESTIÓ IMMOBILIARIA,2.137 €/m²,248.000 €,116 m²,https://www.pisos.com/comprar/atico-castellar_del_valles_centro_urbano-42558539933_516838/,Anuncio actualizado el 08/03/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),116 m²,116 m²,4,1,2ª,N/A,Entre 20 y 30 años,Reformado,516838-1400,,Gres,Aluminio,N/A,N/A,Con salida a terraza,N/A,,,,N/A,Sur,N/A,Frío y calor,Gas natural,,,,,,,,,,,,,N/A,,,,,,,,,,
"Piso en Carrer de Marconi, 126",AEDAS HOMES,2.666 €/m²,312.000 €,117 m²,https://www.pisos.com/comprar/piso-ca_naurell08224-5009080067_109700/,Anuncio actualizado el 23/01/2025,"A, A","A, A",valles_occidental_nord (BCN),117 m²,,3,2,Bajo,,,A estrenar,-a0P1v000011pLPjEAM,,,,,N/A,,,,,,N/A,,,,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,
Casa en Les Martines-Can Palet de Vista Alegre,Forcadell Terrassa,3.013 €/m²,220.000 €,73 m²,https://www.pisos.com/comprar/casa-les_martines_can_palet_de_vista_alegre08224-48363781985_101800/,Anuncio actualizado el 07/10/2024,"G, G","G, G",valles_occidental_nord (BCN),73 m²,,2,1,,,,,IF76845-TER_2891,,,,,,,N/A,,,,N/A,,,,Central,,,,,,,,,,,,,,,,,,,,,,,
Casa en Castellar del Vallès,Engel & Völkers MMC Barcelona,2.290 €/m²,410.000 €,179 m²,https://www.pisos.com/comprar/casa-castellar_del_valles_centro_urbano-48336302851_101800/,Anuncio actualizado el 27/01/2025,"E, E","E, E",valles_occidental_nord (BCN),179 m²,,3,2,,,Entre 30 y 50 años,,IF76306-I-00YRBH-W-02XDJ1,,,,,,,,N/A,,,,,,,Central,,,,925 m²,,1,Privado,,,,,,,,,,,Propia,,,,,
Piso en Avinguda de Béjar,IMMOBLES PRESTIGI S.L,3.331 €/m²,239.900 €,72 m²,https://www.pisos.com/comprar/piso-poble_nou_zona_olimpica08225-47518410013_100500/,Anuncio actualizado el 28/11/2024,"E, E","E, E",valles_occidental_nord (BCN),72 m²,,3,2,2ª,,,En buen estado,SA2318-A-1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en Carrer de Galileu,DALETH Habitatges,3.029 €/m²,312.000 €,103 m²,https://www.pisos.com/comprar/atico-ca_naurell08224-50928503718_501592/,Anuncio actualizado el 19/02/2025,"G, G","G, G",valles_occidental_nord (BCN),103 m²,90 m²,3,2,4ª,N/A,Más de 50 años,En buen estado,501592-V1160,,Parquet,Aluminio,,,,,,N/A,N/A,N/A,Oeste,N/A,Frío y calor,Gas natural,,,,,,,,,,N/A,N/A,,N/A,,,45 euros mensual,,,,,,,
Casa en calle Ca Naurell,LA IMMOBILIARIA TRS,1.301 €/m²,350.000 €,269 m²,https://www.pisos.com/comprar/casa-ca_naurell08224-50844583649_109300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),269 m²,,3,1,,,Más de 50 años,,EP999-RAQ-193,,,,,,,,N/A,,,52,,,N/A,N/A,,,,,,N/A,,N/A,,,,,,,,,,,,,,,
Casa adosada en Ca N\'anglada,PERITAX,1.262 €/m²,289.000 €,229 m²,https://www.pisos.com/comprar/casa_adosada-ca_nanglada08222-41718516513_100500/,Anuncio actualizado el 26/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),229 m²,120 m²,2,2,,,,,SA730-G8899/2691,,Gres,,N/A,,,,N/A,,,N/A,Este,,N/A,Gas natural,,,,,1,1,N/A,,,,,,,,,,,,,Adosada,,,
Casa adosada en Ca n'Anglada,TOTAL GESTIÓN 2000,1.340 €/m²,248.000 €,185 m²,https://www.pisos.com/comprar/casa_adosada-ca_nanglada08222-44207340432_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),185 m²,170 m²,3,4,,,Entre 20 y 30 años,En buen estado,SA2600-R137,,,,,,,,,,,N/A,,,N/A,,,,,77 m²,1,1,,,,,,,,,,,,,,Adosada,,,
Casa en - Airesol  -,NOVA FINQUES,1.877 €/m²,383.000 €,204 m²,https://www.pisos.com/comprar/casa-castellar_del_valles_centro_urbano-30894317303_100500/,Anuncio actualizado el 01/08/2024,"G, G","G, G",valles_occidental_nord (BCN),204 m²,203 m²,4,2,,,Entre 20 y 30 años,,SA3386-SBD214100/8710,,Gres,,N/A,,,,N/A,,,N/A,Suroeste,,,Gas natural,N/A,,,424 m²,,1,,,,,,,,,,,,,N/A,,,,
Piso en Vallparadís,FINQUES FERRAN PLADELLORENS,3.392 €/m²,380.000 €,112 m²,https://www.pisos.com/comprar/piso-vallparadis08222-42515357470_992671/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),112 m²,103 m²,4,2,8ª,N/A,Entre 30 y 50 años,Reformado,4992671-2002,,Parquet,Aluminio,,"Independiente, muy amplia",Exterior a terraza,Incorporado a la cocina,,N/A,N/A,N/A,Sur,N/A,Frío y calor,Gas natural,,,,,2,,Privado,,,N/A,N/A,N/A,N/A,N/A,,Entre 40 y 60 €,,,,,,N/A,
Ático en Centre,Engel & Völkers MMC Barcelona,3.518 €/m²,665.000 €,189 m²,https://www.pisos.com/comprar/atico-terrassa_centre08221-51745380869_101800/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),189 m²,,4,3,4ª,,Entre 20 y 30 años,,IF76306-I-00Z00N-W-02QIQF,,,,,N/A,,N/A,,,,N/A,,,,Central,,,,,1,1,,,,,N/A,,,,,,,,,,,,
Piso en Semicentro,NOVA FINQUES,1.610 €/m²,161.000 €,100 m²,https://www.pisos.com/comprar/piso-castellar_del_valles_centro_urbano-38358452683_100500/,Anuncio actualizado el 20/11/2024,"G, G","G, G",valles_occidental_nord (BCN),100 m²,80 m²,4,2,1ª,,Más de 50 años,,SA3386-CDV1ACT664-308/8710,,Gres,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,
Chalet en Castellar del Vallès,"FINQUES MAJES 2000, S.L.",1.950 €/m²,390.000 €,200 m²,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-35836440962_501506/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),200 m²,164 m²,4,2,,,Entre 10 y 20 años,En buen estado,501506-S1583,Cerezo,Gres,Aluminio,,N/A,N/A,,,,,N/A,A la montaña,N/A,,,N/A,N/A,N/A,410 m²,,2,Privado,,,,,,,N/A,,,,Propia,,,,,
Chalet en Castellar del Vallès,OLVIA GESTIÓ IMMOBILIARIA,902 €/m²,398.000 €,441 m²,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-45858659145_516838/,Anuncio actualizado el 07/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),441 m²,441 m²,7,2,,,,En buen estado,516838-1443,,Terrazo,,N/A,Independiente,Con salida a terracita,N/A,,,,30,,,Frío y calor,Gasoil,N/A,N/A,N/A,882 m²,,2,Privado,,,,,,,,,,,,,,,,
Casa adosada en Carrer de Federico García Lorca,DALETH Habitatges,1.794 €/m²,375.000 €,209 m²,https://www.pisos.com/comprar/casa_adosada-viladecavalls_centro_urbano-51756381502_501592/,Anuncio actualizado el 04/02/2025,"E, E","E, E",valles_occidental_nord (BCN),209 m²,150 m²,4,2,,,Entre 20 y 30 años,En buen estado,501592-19711479,,Gres,Aluminio,N/A,N/A,N/A,,,,N/A,N/A,,N/A,Frío y calor,Eléctrica,,,,,,1,Privado,,,,,,,,,,,,,Adosada,,,
Piso en Carrer Transversal,IMMOBLES PRESTIGI S.L,2.885 €/m²,427.000 €,148 m²,https://www.pisos.com/comprar/piso-sant_pere_zona_esportiva_sant_pere08225-50905450943_100500/,Anuncio actualizado el 12/02/2025,"A, A","A, A",valles_occidental_nord (BCN),148 m²,,4,2,Bajo,,Menos de 5 años,En buen estado,SA2318-A-PH-TV-001,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Casa en Sant Feliu del Racó,NOVA FINQUES,1.366 €/m²,410.000 €,300 m²,https://www.pisos.com/comprar/casa-castellar_del_valles_centro_urbano-45834058822_100500/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),300 m²,,4,5,,,Más de 50 años,,SA3386-CDV14181/8710,,Gres,,N/A,,,,,,,N/A,,,,N/A,N/A,,,1.900 m²,1,,N/A,N/A,,,,,,,,,,N/A,,,,,
Chalet en Ronda del Vallès,FS FINQUES,2.083 €/m²,425.000 €,204 m²,https://www.pisos.com/comprar/chalet-sant_llorenc_savall_centro_urbano-48373354065_100500/,Anuncio actualizado el 12/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),204 m²,180 m²,4,2,,,Entre 30 y 50 años,,SA411-R987/4962,,,,N/A,,,,N/A,,,N/A,,,,N/A,,,,983 m²,1,1,N/A,,,,,,,,,,,,,,,,
Piso en Can Boada-Torrent d'en Pere Parres,OLVIA GESTIÓ IMMOBILIARIA,1.376 €/m²,247.700 €,180 m²,https://www.pisos.com/comprar/piso-can_boada_torrent_en_pere_parres08225-42575152412_516838/,Anuncio actualizado el 10/05/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),180 m²,148 m²,3,1,2ª,N/A,Más de 50 años,En buen estado,516838-1217,Embero,Terrazo,Aluminio,,"Independiente, con salida a terraza",N/A,,,,,N/A,,,Frío y calor,Gas natural,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Carrer Transversal,DALETH Habitatges,3.787 €/m²,356.000 €,94 m²,https://www.pisos.com/comprar/duplex-sant_pere_zona_esportiva_sant_pere08225-50854227746_501592/,Anuncio actualizado el 24/01/2025,"A, A","A, A",valles_occidental_nord (BCN),94 m²,82 m²,3,2,3ª,N/A,Menos de 5 años,A estrenar,501592-19711467,,Parquet,Aluminio,,,,,,N/A,N/A,24 metros,,N/A,Frío y calor,Eléctrica,,,,,,,,,,,N/A,,,,,,,,,,,,
Piso en Carrer de Sant Llorenç,LA IMMOBILIARIA TRS,1.573 €/m²,96.000 €,61 m²,https://www.pisos.com/comprar/piso-la_gripia_sant_llorenc_sant_llorenc08227-51692294235_109300/,Anuncio actualizado el 20/02/2025,"G, G","G, G",valles_occidental_nord (BCN),61 m²,,3,1,5ª,N/A,Más de 50 años,,EP999-PAB-155,,,,,,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,
"Chalet en calle Cova Simanya, nº 22",Habitat Punt Verd S.L.,675 €/m²,270.000 €,400 m²,https://www.pisos.com/comprar/chalet-sant_llorenc_savall_centro_urbano-45837268560_172700/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),400 m²,400 m²,5,2,,,Más de 50 años,En buen estado,1727-001050,N/A,Terrazo,Madera,N/A,N/A,N/A,N/A,,,N/A,N/A,Sur,,,Gasoil,N/A,N/A,N/A,940 m²,,Más de 2,Privado,N/A,,,,,,,,,,Propia,,,,,
Piso en Carrer de Fiñana,Belfinques Egara S.L.,641 €/m²,172.500 €,269 m²,https://www.pisos.com/comprar/piso-roc_blanc-49213119634_106000/,Anuncio actualizado el 10/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),269 m²,225 m²,3,1,,,Más de 50 años,,NI211-Bel-V1448,,Gres,Aluminio,,Independiente,N/A,,,,,2,,,,Gas natural,,,,,,,,Gas natural,,,,,,,,,,,,,,,
Apartamento en Centre,Engel & Völkers MMC Barcelona,2.494 €/m²,449.000 €,180 m²,https://www.pisos.com/comprar/apartamento-terrassa_centre08221-50050738445_101800/,Anuncio actualizado el 30/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),180 m²,,4,2,1ª,,Entre 30 y 50 años,,IF76306-I-00YWYW-W-02Y41Q,,,,,,,N/A,,,,N/A,,,,Central,,,,,,1,,,,,N/A,,,,,,,,,,,,
Apartamento en Ca n'Aurell,Engel & Völkers MMC Barcelona,2.078 €/m²,239.000 €,115 m²,https://www.pisos.com/comprar/apartamento-ca_naurell08224-49175474016_101800/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),115 m²,,3,2,1ª,,Más de 50 años,,IF76306-I-00YUCN-W-02XOT6,,,,,,,N/A,,,,,,,,Central,,,,,,1,,,,,,,,,,,,,,,,,
Piso en Castellar del Vallès,NOVA FINQUES,3.139 €/m²,270.000 €,86 m²,https://www.pisos.com/comprar/piso-castellar_del_valles_centro_urbano-26707577376_100500/,Anuncio actualizado el 18/10/2023,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),86 m²,85 m²,4,1,Bajo,,,Reformado,SA3386-CDV11148/8710,,Parquet,,,,,,,,N/A,,Suroeste,,,Gas natural,,,,,1,,,N/A,,,N/A,N/A,,,,Más de 100 €,,,,,,,
Piso en Avinguda de Josep Tarradellas,AtipicFinques,2.142 €/m²,278.500 €,130 m²,https://www.pisos.com/comprar/piso-can_boada_torrent_en_pere_parres08225-51753050847_525538/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),130 m²,115 m²,4,2,3ª,N/A,,En buen estado,4525538-CRG-065,,,,,N/A,N/A,,,,,,Sureste,,,Gas natural,,,,,1,,,,,,N/A,N/A,,,,,,,,,N/A,,
Casa en Carrer de Caldes,ETHIC REAL ESTATE,1.623 €/m²,394.500 €,243 m²,https://www.pisos.com/comprar/casa-sentmenat_centro_urbano-49198938400_100500/,Anuncio actualizado el 04/11/2024,"D, D","D, D",valles_occidental_nord (BCN),243 m²,165 m²,3,3,,,Entre 20 y 30 años,,SA4866-800/9037,,,,N/A,,,,N/A,,,N/A,,,N/A,Gas natural,,,,,1,1,N/A,N/A,,,,,,,,,,,,,,,
Apartamento en Sant Pere Nord,Engel & Völkers MMC Barcelona,1.855 €/m²,180.000 €,97 m²,https://www.pisos.com/comprar/apartamento-sant_pere_nord08226-47582158984_101800/,Anuncio actualizado el 09/09/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),97 m²,,3,1,3ª,,Más de 50 años,,IF76306-I-00YLU6-W-02WXVZ,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
